127.0.0.1, 2018-04-30 18:40:39, GET, /admin/static/_2.16.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001162
127.0.0.1, 2018-04-30 18:40:39, GET, /admin/static/_2.16.1/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000625
127.0.0.1, 2018-04-30 18:40:42, GET, /yabba/default/index, HTTP/1.1, 200, 0.039727
127.0.0.1, 2018-04-30 18:40:44, GET, /admin/default/site, HTTP/1.1, 200, 0.034152
127.0.0.1, 2018-04-30 18:41:09, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.128460
127.0.0.1, 2018-04-30 18:41:09, GET, /admin/static/_2.16.1/images/search.png, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-04-30 18:41:09, GET, /admin/static/_2.16.1/images/delete_icon.png, HTTP/1.1, 200, 0.002290
127.0.0.1, 2018-04-30 18:41:09, GET, /admin/static/_2.16.1/images/test_icon.png, HTTP/1.1, 200, 0.001013
127.0.0.1, 2018-04-30 18:41:09, GET, /admin/static/_2.16.1/images/help.png, HTTP/1.1, 200, 0.001674
127.0.0.1, 2018-04-30 18:41:18, GET, /admin/default/site, HTTP/1.1, 200, 0.026115
127.0.0.1, 2018-04-30 18:41:24, GET, /admin/default/compile_app/yabba/skip_failed_views, HTTP/1.1, 303, 0.201595
127.0.0.1, 2018-04-30 18:41:24, GET, /admin/default/site, HTTP/1.1, 200, 0.031255
127.0.0.1, 2018-04-30 18:41:37, GET, /admin/default/remove_compiled_app/yabba, HTTP/1.1, 303, 0.039227
127.0.0.1, 2018-04-30 18:41:37, GET, /admin/default/site, HTTP/1.1, 200, 0.033791
127.0.0.1, 2018-04-30 18:41:40, GET, /yabba/default/index, HTTP/1.1, 200, 0.019999
127.0.0.1, 2018-04-30 18:41:42, GET, /admin/default/site, HTTP/1.1, 200, 0.028014
127.0.0.1, 2018-04-30 18:41:55, GET, /yabba/default/index, HTTP/1.1, 200, 0.024081
127.0.0.1, 2018-04-30 18:41:57, GET, /admin/default/site, HTTP/1.1, 200, 0.029910
127.0.0.1, 2018-04-30 18:42:03, GET, /admin/default/pack/yabba, HTTP/1.1, 200, 0.319188
127.0.0.1, 2018-04-30 18:42:11, GET, /admin/default/about/yabba, HTTP/1.1, 200, 0.041104
127.0.0.1, 2018-04-30 18:42:12, GET, /admin/static/_2.16.1/js/jquery.flot.js, HTTP/1.1, 200, 0.003130
127.0.0.1, 2018-04-30 18:42:12, GET, /admin/static/_2.16.1/js/jquery.flot.resize.js, HTTP/1.1, 200, 0.001973
127.0.0.1, 2018-04-30 18:42:13, GET, /admin/default/site, HTTP/1.1, 200, 0.025070
127.0.0.1, 2018-04-30 18:42:19, GET, /admin/default/pack_custom/yabba, HTTP/1.1, 200, 0.050882
127.0.0.1, 2018-04-30 18:42:28, GET, /admin/default/site, HTTP/1.1, 200, 0.023067
127.0.0.1, 2018-04-30 18:51:04, GET, /admin/default/uninstall/yabba, HTTP/1.1, 200, 0.043110
127.0.0.1, 2018-04-30 18:51:06, GET, /admin/default/site, HTTP/1.1, 200, 0.025724
127.0.0.1, 2018-04-30 18:51:18, GET, /yabba/default/index, HTTP/1.1, 200, 0.024252
127.0.0.1, 2018-04-30 18:51:20, GET, /admin/default/site, HTTP/1.1, 200, 0.028109
127.0.0.1, 2018-04-30 18:51:24, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.169709
127.0.0.1, 2018-04-30 18:52:03, GET, /admin/default/peek/yabba/controllers/api.py, HTTP/1.1, 200, 0.031475
127.0.0.1, 2018-04-30 18:52:05, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.105975
127.0.0.1, 2018-04-30 18:52:07, GET, /admin/default/peek/yabba/controllers/appadmin.py, HTTP/1.1, 200, 0.090822
127.0.0.1, 2018-04-30 18:52:10, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.084095
127.0.0.1, 2018-04-30 18:52:16, GET, /admin/default/peek/yabba/models/db.py, HTTP/1.1, 200, 0.016658
127.0.0.1, 2018-04-30 18:54:17, GET, /admin/default/peek/yabba/models/tables.py, HTTP/1.1, 200, 0.012968
127.0.0.1, 2018-04-30 18:55:54, GET, /yabba/appadmin/index, HTTP/1.1, 200, 0.051219
127.0.0.1, 2018-04-30 18:55:55, GET, /yabba/appadmin/hooks, HTTP/1.1, 200, 0.058696
127.0.0.1, 2018-04-30 18:55:57, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.107116
127.0.0.1, 2018-04-30 18:56:04, GET, /admin/default/peek/yabba/controllers/default.py, HTTP/1.1, 200, 0.020446
127.0.0.1, 2018-04-30 18:56:13, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.104779
127.0.0.1, 2018-04-30 18:56:18, GET, /admin/default/peek/yabba/controllers/default.py, HTTP/1.1, 200, 0.020698
127.0.0.1, 2018-04-30 18:56:36, GET, /yabba/appadmin/index, HTTP/1.1, 200, 0.036148
127.0.0.1, 2018-04-30 18:56:36, GET, /yabba/appadmin/hooks, HTTP/1.1, 200, 0.051934
127.0.0.1, 2018-04-30 18:56:38, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.105273
127.0.0.1, 2018-04-30 18:56:42, GET, /yabba/appadmin/index, HTTP/1.1, 200, 0.028041
127.0.0.1, 2018-04-30 18:59:53, GET, /admin/default/test/yabba, HTTP/1.1, 200, 0.025418
127.0.0.1, 2018-04-30 18:59:53, POST, /yabba/api/_TEST, HTTP/1.1, 200, 0.167753
127.0.0.1, 2018-04-30 18:59:53, POST, /yabba/appadmin/_TEST, HTTP/1.1, 200, 0.172975
127.0.0.1, 2018-04-30 18:59:53, POST, /yabba/default/_TEST, HTTP/1.1, 200, 0.174606
127.0.0.1, 2018-04-30 18:59:55, GET, /admin/default/design/yabba, HTTP/1.1, 200, 0.097286
